Protocol Name,Supplement Name,Notes for use: ,Directions For Use,Link To Purchase,,Cardio Type
1 Hour Before Bed (METHYLATION Protocol),TMG (Trimethylglycine),,4g,Order here,,Treadmill
1 Hour Before Bed (METHYLATION Protocol),Glycine,,4g,Order here,,Bike
1 Hour Before Bed (METHYLATION Protocol),L-Methionine,,2.4g (2400mg),Order here,,HIIT
1 Hour Before Bed (METHYLATION Protocol),Methyl Folate/methyl B12,Use discount code is TOGNIETTI10 for savings,1000mcg (1 full dropper),Order here,,Stairmaster
1 Hour Before Bed (METHYLATION Protocol),Inositol,,6g,Order here,,Brisk Walk
1 Hour Before Bed (METHYLATION Protocol),Magnesium,Use discount code is TOGNIETTI10 for savings,200mg,Order here,,Run
1 Hour Before Bed (METHYLATION Protocol),Vitamin D3 + K2,Use discount code TOGNIETTI10 for savings - 1 hour before bed,5000 IU 1 hr before bed,Order here,,
5R Base Gut Protocol ,Artemisia Wormwood,,"Take 1 capsule with meals 1, 3, and 4 for only 2 weeks, then stop.",Order here,,
5R Base Gut Protocol ,Biofilm Resolve,Use discount code TOGNIETTI10.  7-Day Prepareation Phase for 5R protocol,"2 capsules 45-60 minutes before meals 1, 3, and 5 on an emtpy stomach. ",Order here,,
5R Base Gut Protocol ,Saccharomyces Boulardii,7-Day Preparation Phase for 5R protocol & use weeks 1-6. ,take 2 capsules of Saccharomyces Boulardii with meal 1 and 2 capsules with your last meal,Order here,,
5R Base Gut Protocol ,Water Intake,,Consume 1-1.5 gallons of water daily for the first 2 weeks,,,
5R Base Gut Protocol ,Fungal Pro,Discontinue after 6 weeks. Use discount code TOGNIETTI10 at checkout.,"2 capsules, 2 times a day (with the first and last meal)",Order here,,
5R Base Gut Protocol ,Biofilm Resolve,Use discount code TOGNIETTI10.  7-Day Prepareation Phase for 5R protocol,"Week 1: 3 capsules 30 minutes before meals 1/3/5
Weeks 2-5: 4 capsules 30 minutes before meals 1/3/5
Weeks 6-7: 3 capsules before meals 1/3/5
Weeks 8-9: 2 capsules before meals 1/3/5
Then off",Order here,,
5R Base Gut Protocol ,Saccharomyces Boulardii,,"2 capsules with meal 1
2 capsules with last meal",Order here...,,
5R Base Gut Protocol ,Mastic Gum,Use weeks 1-6.,1000 mg (2 capsules) with meals 2 and 5 daily for 6 weeks,Order here,,
5R Base Gut Protocol ,FC Extinguish,Use weeks 1-6. discount code TOGNIETTI10 at checkout.,"2 capsules, 2 times a day (first and last meal) for weeks 1-6",Order here,,
5R Base Gut Protocol ,Grapefruit Seed Extract (GSE) (Nutridyn),Use weeks 1-6. discount code TOGNIETTI10 at checkout.,"3 capsules with meals 1, 3, and 5 for 6 weeks.",,,
5R Base Gut Protocol ,Oregano Pro,Use weeks 1-6. Use discount code TOGNIETTI10 at checkout,"For first 6 weeks, take 4 tablets (200 mg) 3 times a day (meals 1, 3, and 5)",Order here,,
5R Base Gut Protocol ,Berberine,Use weeks 4-6. ,"Take 2000 mg with meals 1 and 3.
Take 1000 mg with meal 5",Order here,,
5R Base Gut Protocol ,Allicin (Allimed),Use weeks 4-6. ,"2 capsules with meals 1, 3, and 5 for weeks 4-6",Order here,,
5R Base Gut Protocol ,Bloat Eaze,Use weeks 1-6. Use discount code TOGNIETTI10,"1 scoop daily, with meal 1",Order here,,
5R Base Gut Protocol ,Glutamine,Use weeks 1-6.,20 grams daily with a meal,Order here,,
5R Base Gut Protocol ,Opti-Pure,Use weeks 1-6. Use my discount code TOGNIETTI10 for a discount,"Initial Phase: 3 capsules with meal 1 and meal 4 until the bottle is finished

Maintenance Phase: 3 capsules with meal 1 for the remainder of the second bottle
",Order here,,
5R Base Gut Protocol ,Calcium D-Glucarate (Nutricost),Use weeks 1-6.,2 tablets (1000 mg) with meal 1 and meal 5 for 8 weeks,Order here,,
5R Base Gut Protocol ,Zinc Carnosine,Use weeks 1-6.,1 tablet twice daily with meals 1 and 4 for 6 weeks,Order here,,
5R Base Gut Protocol ,Cort Eaze,Use weeks 1-6. Use my discount code TOGNIETTI10 for a discount,"Take 2 capsules upon waking, 2 capsules with meal 3, and 2 capsules before bed throughout the program.",Order here,,
5R Base Gut Protocol ,Relax Liposomal,Use weeks 1-6. Use my discount code TOGNIETTI10 for a discount,Take 2 ml before bed each night.,Order here,,
5R Base Gut Protocol ,Ashwagandha,Use weeks 1-6.,,Order here,,
5R Base Gut Protocol ,FODMAP,Week 7 and beyond ,Gradually introduce 1 FODMAP per week,,,
5R Base Gut Protocol ,Biotics Research Bile Plus,Use week 7 and beyond. Use my discount code TOGNIETTI10 for a discount,2 capsules per meal,Order here,,
5R Base Gut Protocol ,Saccharomyces Boulardii,,2 capsules with meal 1 for 6 more weeks,Order here,,
5R Base Gut Protocol ,Probiotic,Garden of Life brand. Use week 7 and beyond,"Take 1 capsule with meal 1
Take 1 capsule each morning",Order here,,
5R Base Gut Protocol ,Gut Defender,Use week 7 and beyond. Use my discount code TOGNIETTI10 for a discount,Take 2 capsules with meal 1 for maintenance for 6 weeks.,Order here,,
Adrenal Deficient Protocol,Cort Eaze,Use my discount code TOGNIETTI10 for a discount,"2 capsules upon waking
2 capsules with Meal 3
2 capsules with Meal 5
2 capsules before bed",Order here,,
Adrenal Deficient Protocol,Relax Liposomal,Use my discount code TOGNIETTI10 for a discount,2 ml before bed,Order here,,
Adrenal Deficient Protocol,Ashwagandha,,2 capsules with each dose of Cort Eaze,Order here,,
Adrenal Deficient Protocol,Re-Testing Labs,"After 8 weeks on the protocol, re-test labs to monitor progress and adjust treatment as necessary.",,,,
Adrenal Insufficient Protocol,Adrena Health (Practitioner Depot),Use my discount code TOGNIETTI10 for a discount,"3 capsules with meal 1
3 capsules with meal 3
3 capsules with meal 5",Order here,,
Adrenal Insufficient Protocol,Adrena Licorice (Practitioner Depot),Use my discount code TOGNIETTI10 for a discount,1 capsule with each Adrena Health dosage,Order here,,
Adrenal Insufficient Protocol,Vitamin C,,Follow the dosage in your regimen to boost adrenal health.,Order here,,
Adrenal Insufficient Protocol,Ashwagandha,,2 capsules with each Adrena Health dosage,Order here,,
Adrenal Insufficient Protocol,Dr. Wilson's Adrena Rebuilder,,1 capsule with every Adrena Health dosage,Order here,,
Adrenal Insufficient Protocol,Monitoring and Retesting,"After 6 months on the protocol, retest labs to evaluate progress and adjust treatment as needed.",,,,
Autophagy Push Protocol,Black Seed Oil,,10g/day,Order here,,
Autophagy Push Protocol,Vitamin B2,,500 mg/day,,,
Autophagy Push Protocol,Vitamin B3,,300 mg/day,,,
Autophagy Push Protocol,Methyl Folate/methyl B12,Use discount code is TOGNIETTI10 for savings,1200mcg/day,Order here,,
Autophagy Push Protocol,Magnesium,Use discount code is TOGNIETTI10 for savings,1 scoop/day,Order here,,
Autophagy Push Protocol,Iodine,,500 mg/day,Order here,,
Autophagy Push Protocol,Vitamin C,,2000mgs a day,Order here,,
Autophagy Push Protocol,CoQ10 (Nutrabio),,1500 mg/day,,,
Autophagy Push Protocol,Quercetin (Nutrabio),,500 mg/day,Order here,,
Autophagy Push Protocol,Alpha Lipoic Acid (Nutrabio),,300 mg/day,Order here,,
Autophagy Push Protocol,Cat's Claw,,750 mg/day,,,
Autophagy Push Protocol,L-Carnitine,Use my discount code TOGNIETTI10 for a discount,3g / day,Order here,,
